time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range
106368,1068,7.502082469999998,831,684.03,99,-0.009921053308062255,0.0114729665,0.8002163171768188,-0.8210840448737144,1.9149986505508423,3320,0.001,0.083984375,9.955805122852325,0.2
106496,1068,7.502082469999998,832,684.03,99,0.002216127817519009,0.0018245573,0.22714370489120483,-0.8514610566198826,179.06031799316406,3324,0.001,0.0078125,421.82258129119873,0.2
106624,1069,7.502082469999998,833,684.03,99,-0.008882822119630873,0.016138788,0.5872490406036377,-0.888190183788538,1.2856582403182983,3328,0.001,0.072265625,2.5863153859972954,0.2
106752,1069,7.502082469999998,834,684.03,99,0.0012777750380337238,0.009397297,0.79564368724823,-0.7776399403810501,1.031272292137146,3332,0.001,0.060546875,3.062933385372162,0.2
106880,1069,7.502082469999998,835,684.03,99,-0.003762643027585,0.011572488,-0.03119802474975586,-0.803351391106844,11.916199684143066,3336,0.001,0.09765625,78.46227169036865,0.2
107008,1068,7.502082469999998,836,684.03,100,-0.0018770797178149223,0.003914382,-0.5831998586654663,-0.5038309022784233,6.345127582550049,3340,0.001,0.0234375,33.4251629114151,0.2
107136,1068,9.078582049999998,837,682.31,100,0.0008671822724863887,0.027745452,0.2424948811531067,-0.3865272495895624,0.15108421444892883,3344,0.001,0.11328125,0.35614455211907625,0.2
107264,1069,9.078582049999998,838,682.31,100,0.07730693533085287,0.08602139,-0.08608889579772949,-0.6451602168381214,92.4658432006836,3348,0.001,0.45703125,582.1749601364136,0.2
107392,1070,9.821575049999998,839,675.8,100,-0.026558974641375244,0.042582203,0.9684416651725769,-0.7558924928307533,0.6058825850486755,3352,0.001,0.19921875,1.6886533573269844,0.2
107520,1070,9.821575049999998,840,675.8,100,-0.0010769686778075993,0.0012418036,0.29278481006622314,-0.6702262721955776,100.21014404296875,3356,0.001,0.0,492.1418676376343,0.2
107648,1071,9.821575049999998,841,675.8,100,-0.0005907866288907826,0.0034232428,0.8142513036727905,-0.7605167292058468,0.6612107753753662,3360,0.001,0.013671875,1.9564054533839226,0.2
