time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,train/n_updates,train/approx_kl
1440,137216,15.719872010000001,95,67,613.29,0.2,0.027783203125,-0.004423215123824775,11.502871990203857,0.8747481107711792,0.00013779839999999998,-0.9283793076872826,5.647450923919678,660,0.00483591
1438,139264,24.26240167,96,68,642.98,0.2,0.07666015625,-0.005884642491582781,6.451704120635986,0.8228778839111328,0.0001353408,-0.9254245981574059,2.3991568088531494,670,0.0075551425
1437,141312,27.556034620000002,98,69,647.48,0.2,0.044091796875,-0.004058326291851699,54.7537034034729,0.740737795829773,0.0001328832,-0.9489081189036369,30.434871673583984,680,0.008937836
1434,143360,27.556034620000002,99,70,647.48,0.2,0.05361328125,-0.005800209054723382,16.840760397911072,0.7469146251678467,0.0001304256,-1.070458960533142,6.826201915740967,690,0.007338079
1430,145408,28.911218330000008,101,71,664.24,0.2,0.04091796875,-0.00741007921169512,8.554671454429627,0.8807629942893982,0.000127968,-0.9838455334305763,3.7178070545196533,700,0.007696566
1430,147456,34.47101688,103,72,695.68,0.2,0.03779296875,-0.004614018544089049,4.651765006780624,0.9361676573753357,0.00012551039999999998,-0.9562386006116868,1.813709020614624,710,0.006942648
1431,149504,35.80043807,104,73,707.76,0.2,0.00029296875,-0.0007917290553450584,53.35447154045105,0.7550933957099915,0.0001230528,-0.9881007477641106,23.79019546508789,720,0.0013420766
1431,151552,35.757026319999994,105,74,711.03,0.2,0.0,-0.00038390842964872716,61.99945955276489,0.4769270420074463,0.0001205952,-1.0126506358385086,23.20187759399414,730,0.00035014056
1430,153600,37.19719849,107,75,718.52,0.2,0.00166015625,-0.0019643537933006884,78.15741062164307,0.5082144737243652,0.0001181376,-0.9199010357260704,41.434810638427734,740,0.00096738007
1429,155648,38.815307960000005,108,76,726.76,0.2,0.031103515625,-0.004181293968576938,6.169056856632233,0.9161517024040222,0.00011568,-0.8486770495772362,2.8462719917297363,750,0.0050403094
1428,157696,39.560838690000004,110,77,735.47,0.2,0.032666015625,-0.004236842063255608,10.523334074020386,0.9187796115875244,0.00011322239999999998,-0.9707479685544967,5.091342926025391,760,0.004759509
1425,159744,41.58334559,112,78,743.49,0.2,0.019921875,-0.003946246224222705,8.963344645500182,0.8180075883865356,0.00011076479999999999,-1.005403470993042,5.006282329559326,770,0.0033144038
1422,161792,39.581195949999994,113,79,766.89,0.2,0.0169921875,-0.0020666908181738108,23.776939845085145,0.712593674659729,0.00010830719999999999,-0.9699260890483856,10.9254732131958,780,0.0045915507
1421,163840,39.74326968,115,80,783.63,0.2,0.0,-0.0006696984230075032,86.68065757751465,0.7346064448356628,0.0001058496,-0.9715490132570267,47.61011505126953,790,0.00074296154
1419,165888,39.86235723,116,81,801.3,0.2,0.0,-0.00044068893184885384,74.43534350395203,0.6790866255760193,0.00010339199999999998,-0.9898679122328758,46.22832107543945,800,0.00055568456
1416,167936,42.21328527000001,118,82,815.7,0.2,0.000390625,-0.000889978394843638,84.13060274124146,0.7215782403945923,0.00010093439999999998,-0.8911521837115288,39.18836212158203,810,0.0013214584
1415,169984,44.90815339000001,120,83,829.88,0.2,0.004296875,-0.00203323382884264,64.9521327972412,0.41237181425094604,9.847679999999999e-05,-0.9002720385789871,30.465694427490234,820,0.0041930676
1416,172032,44.795024319999996,121,84,842.98,0.2,0.0,-0.0005610103777144104,94.48329048156738,0.5603711009025574,9.601919999999999e-05,-0.9965376541018486,40.25883483886719,830,0.00055243634
1414,174080,43.18447523,123,85,839.74,0.2,0.0,-0.0002637110999785364,67.4535062789917,0.6629440188407898,9.356160000000001e-05,-1.0282026916742324,24.509151458740234,840,0.00014996968
1413,176128,44.82419635999999,124,86,839.74,0.2,0.0,-0.0007298362295841798,148.60605010986328,0.4330366253852844,9.110399999999997e-05,-0.9593746051192283,78.36601257324219,850,0.000568247
1410,178176,46.392246730000004,126,87,847.25,0.2,0.031689453125,-0.004551319353049621,5.592038494348526,0.96303391456604,8.864639999999998e-05,-1.0441251516342163,2.770794153213501,860,0.006313715
1409,180224,48.34034134,127,88,860.53,0.2,0.000830078125,-0.0023563160153571515,13.987491059303284,0.8895532488822937,8.61888e-05,-0.9592657715082169,6.732059001922607,870,0.0021257147
1409,182272,52.95560391,129,89,881.84,0.2,0.019482421875,-0.0032752696482930333,21.427894616127013,0.8663254380226135,8.37312e-05,-0.9673477873206139,15.491266250610352,880,0.005144669
1409,184320,53.06850277999999,130,90,881.84,0.2,0.0,-0.0009293171809986233,104.25122375488282,0.594011664390564,8.127360000000001e-05,-0.922204215824604,50.497257232666016,890,0.00049244124
1407,186368,53.57163104,132,91,889.9,0.2,0.00068359375,-0.00133512913598679,16.078462195396423,0.9113852977752686,7.881599999999999e-05,-0.9989946827292442,6.651116847991943,900,0.0009849574
1407,188416,51.72179252000001,133,92,887.2,0.2,0.01318359375,-0.002499484468717128,7.776133555173874,0.8858145475387573,7.635839999999999e-05,-0.9814836576581001,2.7660555839538574,910,0.006108097
1407,190464,52.575665560000004,135,93,894.88,0.2,0.0,-0.00045627666404470804,45.73721566200256,0.7791781425476074,7.39008e-05,-1.028438428044319,18.996810913085938,920,0.00058198115
1406,192512,56.12669041000001,136,94,907.02,0.2,0.040625,-0.004100804880727083,10.034354197978974,0.8739010095596313,7.14432e-05,-1.0342654556035995,5.254281520843506,930,0.00520855
1406,194560,59.736164179999996,138,95,920.05,0.2,0.00244140625,-0.0018286483711563051,44.28106503486633,0.6929409503936768,6.89856e-05,-0.9391143798828125,15.104658126831055,940,0.0022222376
1405,196608,59.736164179999996,139,96,920.05,0.2,0.0,-0.00019966092659160495,38.181205129623415,0.8111268281936646,6.652799999999998e-05,-1.0171192407608032,16.52607536315918,950,0.0005510458
1404,198656,58.238644410000006,141,97,916.85,0.2,0.002392578125,-0.0024093971005640924,13.739580416679383,0.8858667016029358,6.407039999999999e-05,-1.0081577733159066,6.205220699310303,960,0.0038181643
1405,200704,59.41728151000001,142,98,918.24,0.2,0.0,-0.0007519221981056035,59.6810507774353,0.7995561361312866,6.16128e-05,-0.9894824296236038,24.953815460205078,970,0.0011022969
1404,202752,61.217307629999986,144,99,907.76,0.2,0.0,-0.0004906274436507374,46.47258286476135,0.7871974110603333,5.9155200000000006e-05,-0.9865186601877213,18.952117919921875,980,0.00038089688
1403,204800,61.217307629999986,145,100,907.76,0.2,0.0,-0.0006449867272749543,90.25253076553345,0.6099709272384644,5.669760000000001e-05,-0.9366910934448243,37.3172721862793,990,0.00021640534
1402,206848,63.82899992999999,147,101,906.55,0.2,0.00986328125,-0.0024189542047679423,17.26950373649597,0.6453990340232849,5.423999999999998e-05,-0.9081228747963905,7.769028663635254,1000,0.004797019
1402,208896,64.07609747,148,102,900.34,0.2,0.000146484375,-0.0007792957068886608,41.61545460224151,0.7656458020210266,5.178239999999999e-05,-0.8770158484578132,23.184429168701172,1010,0.0025350659
1402,210944,64.93144285,150,103,900.34,0.2,0.0,-0.00016145693371072412,67.30958409309387,0.7196146249771118,4.93248e-05,-0.9353303611278534,35.86566925048828,1020,0.00013383324
1402,212992,61.75769752,151,104,879.39,0.2,0.001904296875,-0.001996614155359566,12.550840735435486,0.9295406937599182,4.6867200000000004e-05,-1.006019088625908,6.0148725509643555,1030,0.0033871676
1402,215040,62.305103419999995,153,105,879.39,0.2,0.0,0.0001938172150403261,238.33971939086913,0.5495017170906067,4.440960000000001e-05,-0.866449449956417,136.59439086914062,1040,0.00023252043
1401,217088,63.43279812000001,154,106,868.02,0.2,0.003271484375,-0.0016711033415049315,11.69664682149887,0.9222331643104553,4.195199999999999e-05,-0.967858350276947,5.598318099975586,1050,0.0015758696
1402,219136,62.622293500000005,156,107,860.5,0.2,0.0,-0.0005017527320887894,88.59330224990845,0.6428870558738708,3.949439999999999e-05,-0.9483948945999146,50.888492584228516,1060,0.00036920732
1402,221184,63.93483706000001,157,108,859.42,0.2,0.0,-4.1368743404746054e-05,68.84101991653442,0.7371218800544739,3.70368e-05,-0.9626308813691139,57.71388626098633,1070,5.0989824e-05
1402,223232,62.98768827,159,109,847.39,0.2,0.015771484375,-0.0034646845131646843,48.94278783798218,0.7931210398674011,3.457920000000001e-05,-1.0135536208748817,16.691118240356445,1080,0.005068866
1402,225280,63.02748563999999,160,110,841.97,0.2,0.0,-0.00014050216996110975,108.21380004882812,0.5793130993843079,3.212159999999998e-05,-0.9655000850558281,41.16963195800781,1090,0.00029390026
